书名	书名（英文）	作者
另一种教育	"The Schools Our Children Deserve: Moving Beyond Traditional Classrooms and ""Tougher Standards"""	詹姆斯·W.洛墨斯
跃迁：从人造卫星到人造肉	Leapfrogging: Harness the Power of Surprise for Business Breakthroughs	哈拉姆·伊甘巴
机器的崛起	The Rise of the Robots: Technology and the Threat of Mass Unemployment	马丁·福特
月光奇迹	The Moonshot Effect: Disrupting Business as Usual	丹尼斯·斯托文斯
意识：人类存续之疑	Consciousness and the Brain	斯坦利·布琼特
大脑的故事：一部神经科学史	The Tell-Tale Brain: A Neuroscientist's Quest for What Makes Us Human	V·S·拉马查德兰
如何学习	Make It Stick: The Science of Successful Learning	彼得·C·布朗
思维的天赋	Talent is Overrated: What Really Separates World-Class Performers from Everybody Else	杰夫·科尔汉姆
科技与人类：对话经验	The Shallows: What the Internet is Doing to Our Brains	尼古拉斯·卡尔
找到你的激情	The Element: How Finding Your Passion Changes Everything	肯·罗宾逊
卓有成效的人	The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change	史蒂芬·柯维
动手做	Make: Electronics: Learning Through Discovery	查尔斯·普兰特
优秀的教练	The Talent Code: Greatness Isn't Born. It's Grown. Here's How.	丹尼尔·科伊尔
思维大师	Superbrain: Unleashing the Explosive Power of Your Mind to Maximize Health, Happiness, and Spiritual Well-Being	Deepak Chopra
极端排异症	The Psychopath Test: A Journey Through the Madness Industry	乔恩·罗恩森
激情	Flow: The Psychology of Optimal Experience	米哈里·契克森米哈伊
连结大师	The Tipping Point: How Little Things Can Make a Big Difference	马尔科姆·格拉德威尔
虚拟大脑	The Virtual Brain: Understanding and Enhancing Brain Function with Virtual Reality	M.S. Beauchamp
数字化的大脑	The Digital Mind: How Science is Redefining Humanity	Arlindo Oliveira
挥发的大脑	The Evolving Brain: The Mind and the Neural Control of Behavior	Todd M. Preuss and John H. Kaas
人类的未来：全球化、自由和威胁	Homo Deus: A Brief History of Tomorrow	尤瓦尔·赫拉利
思考之道	A Guide to the Good Life: The Ancient Art of Stoic Joy	威廉·贡希漢
格局：如何见识到更完美的事物	Perspective Made Easy: A Step-By-Step Guide	Ernest R. Norling
我们为什么会有效仿？	The Imitation Game: How Humans Learn to Be Like Each Other	C. Brian Smith
寻找失落的智慧：西方哲学史	A History of Western Philosophy	费尔南多·萨维特·谢尔曼
领导力35岁之前	The 5 Levels of Leadership: Proven Steps to Maximize Your Potential	约翰·C·马克斯韦尔
转换：新的科技引领新的企业革命	The Innovator’s Dilemma: When New Technologies Cause Great Firms to Fail	克莱顿·克里斯坦森
我至少还有你	The Five Love Languages: How to Express Heartfelt Commitment to Your Mate	盖瑞·查普曼
超级获取：思维如何影响行动，行动如何制造好运？	The Luck Factor: The Scientific Study of the Lucky Mind	理查德·温丁
解密：如何有效减少错误决策？	Decisive: How to Make Better Choices in Life and Work	丹·希思与查普·希思
用科学解说：速成认知科学之旅	Incognito: The Secret Lives of the Brain	大卫·伯格
幸福：人生的追求	The Art of Happiness: A Handbook for Living	达赖喇嘛与 霍华德·卡特尔
思考，快与慢	Thinking, Fast and Slow	丹尼尔·卡尼曼
黑天鹅：如何应对不可预知的未来	The Black Swan: The Impact of the Highly Improbable	纳西姆·尼古拉斯·塔勒布
未来简史	Sapiens: A Brief History of Humankind	尤瓦尔·赫拉利
霍乱时期的爱情	Love in the Time of Cholera	加夫列尔·加西亚·马尔克斯
人性的弱点	How to Win Friends and Influence People	戴尔·卡耐基
时间简史	A Brief History of Time	史蒂芬·霍金
人类简史：从动物到上帝	Sapiens: A Brief History of Humankind	尤瓦尔·赫拉利
生命0：人工智能时代，人类进化的下一步	Life 3.0: Being Human in the Age of Artificial Intelligence	马克·斯威尼
穷查理宝典	Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger	查理·芒格
开放社会及其敌人	The Open Society and Its Enemies	卡尔·波普尔
Emotional Intelligence: Why It Can Matter More Than IQ	情商：为什么它比智商更重要	丹尼尔·戈尔曼
演化心理学	The Handbook of Evolutionary Psychology	大卫·贝斯
黑客与画家	Hackers and Painters	保罗·格雷厄姆
了不起的盖茨比	The Great Gatsby	弗朗西斯·斯科特·菲茨杰拉德
进化的故事	The Story of Evolution	迈克尔·斯坦伯格
富爸爸，穷爸爸	Rich Dad, Poor Dad	罗伯特·清崎
洛丽塔	Lolita	弗拉基米尔·纳博科夫
演化的力量	The Power of Evolution	弗兰西斯·留斯
知觉与现实	Perception and Reality	哈利·法克斯
动物精神	The Animal Spirits	乔治·阿克洛夫
原则	Principles	雷·达利欧
黑暗森林	The Dark Forest	刘慈欣
观念的起源	The Origin of Consciousness in the Breakdown of the Bicameral Mind	朱利安·杰伯
超越智商	The Emotional Intelligence of AI	杰克·约翰逊
指数基金投资指南	The Little Book of Common Sense Investing	约翰·博格尔
戴高乐传	De Gaulle: A Biography	朱利安·杰克逊
知识社会	The Knowledge Society	彼得·德鲁克
致命习惯	The Power of Habit	查尔斯·杜希格
元认知的奥秘	The Meta-Programs Mystery	克里斯蒂娜·哈伯德
洛杉矶的城市生活	The Death and Life of Great American Cities	简·雅各布斯
经济学原理	Principles of Microeconomics	格雷格·曼基与玛丽安·佩欧尔
海伦·凯勒传	The Story of My Life	海伦·凯勒
潜规则	The Hidden Rules of Social Class	安兹·法尔科内
共舞团	The Corps Dance Ensemble	加西亚·马尔克斯
大数据时代	Big Data: A Revolution That Will Transform How We Live, Work, and Think	维克托·迈尔-舍恩伯格
中国历史大讲堂	History of China	梅思菲韦
行动的力量	The Power of Action	托尼·罗宾斯
坦坦尼克号	Titanic	沃尔特·派西克
明朝那些事儿	The Ming Dynasty	当年明月
财富自由之路	Your Money or Your Life	乔·多明格斯与维基·罗宾斯
阿·J·弗朗西斯传	The Secret Life of A. J. Fikry	加布利埃尔·泽文
追风筝的人	The Kite Runner	哈勃·胡赛因
杀死一只知更鸟	To Kill a Mockingbird	哈珀·李
神经科学	Principles of Neuroscience	埃里克·卡安德尔等
人性的底层	The Bottom of Human Nature	安迪·巴戈斯
掌控自我	Willpower: Rediscovering the Greatest Human Strength	罗伊·巴伊默斯特哲学
船长的女儿	Daughter of the Captain	J·M·库切
自卑与超越	In Search of a Better World	卡尔·波普尔
巴菲特致股东的信	Letters to Berkshire Hathaway Shareholders	沃伦·巴菲特
精彩人生	The Greatness Guide	罗宾·谷大瑞
黑天鹅：如何应对不可预知的未来	The Black Swan: The Impact of the Highly Improbable	纳西姆·尼古拉斯·塔勒布
人类简史	Sapiens: A Brief History of Humankind	尤瓦尔·赫拉利
思考，快与慢	Thinking, Fast and Slow	丹尼尔·卡尼曼
在你身边的奇迹	The Power of Now: A Guide to Spiritual Enlightenment	艾克哈特·托利
演化心理学	The Evolutionary Psychology: The New Science of the Mind	大卫·珀林斯
乌合之众	The Crowd: A Study of the Popular Mind	古斯塔夫·勒庞
非暴力沟通	Nonviolent Communication: A Language of Life	马维·罗森伯格
自控力	The Willpower Instinct: How Self-Control Works, Why It Matters, and What You Can Do to Get More of It	凯莉·麦戈尼格尔
社会性动物	Social: Why Our Brains Are Wired to Connect	马修·利伯曼
脑的自我修复	The Brain That Changes Itself: Stories of Personal Triumph from the Frontiers of Brain Science	歌德曼
书呆子到金牌主帅	The Talent Code: Greatness Isn't Born. It's Grown. Here's How.	丹·科特
集体智慧编程	Programming Collective Intelligence: Building Smart Web 2.0 Applications	托比·西格曼
信仰与认知	Faith and Knowledge: Mainline Protestantism and American Higher Education	大卫·霍普金斯
极简宇宙史	A Brief History of Time	史蒂芬·霍金
哲学说服力	The Art of Persuasion: Winning Without Intimidation	卡斯塔利奥翁
我们的智慧源泉	The Wisdom of Crowds	詹姆斯·苏里基
街头智慧	Street Smarts: Adventures on the Road and in the Markets	吉姆·罗杰斯
你一定要过得开心	The Happiness Advantage: The Seven Principles of Positive Psychology That Fuel Success and Performance at Work	肖恩·阿克斯
设计的心理学	The Design of Everyday Things	唐纳德·诺曼
孤独的灵魂	The Unbearable Lightness of Being	米兰·昆德拉
发现统计学	Discovering Statistics Using R	安迪·菲尔德
心流：完美体验的心理学	Flow: The Psychology of Optimal Experience	米哈里·契克森米哈伊
走出错误地图	Maps of Meaning: The Architecture of Belief	约旦·彼得森
饥饿的城市：城市如何塑造我们的品味、思考和文化	The Hungry City: How Food Shapes Our Lives	卡罗琳·斯莱科特
休息的力量：女性创业者的压力调节之道	Drop the Ball: Achieving More by Doing Less	泰瑞莎·瓦斯格里夫
空想国度：如何激发创造性灵感	Imagine: How Creativity Works	理查德·弗洛里达
漫游人类智慧世界	The Knowledge Illusion: Why We Never Think Alone	史蒂文·斯利普尼兹
懒惰的人自我管理秘籍	Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones	詹姆斯·克利尔
百年孤独	One Hundred Years of Solitude	加西亚·马尔克斯
情感专业家	Emotional Intelligence: Why It Can Matter More Than IQ	丹尼尔·戈尔曼
地球几案	The Sixth Extinction: An Unnatural History	伊丽莎白·科尔伯特
打破习惯的力量	The Power of Habit: Why We Do What We Do in Life and Business	查尔斯·杜希格
魔鬼经济学	Freakonomics: A Rogue Economist Explores the Hidden Side of Everything	史蒂芬·杜布纳
活在当下	The Present Moment: A Retreat on the Practice of Mindfulness	圣雄甘地
恐惧症：对未知的恐惧	Fear of the Unknown: The Psychology of Anxiety	西德尼·沙克特
告别焦虑	The Anxiety Solution: A Quieter Mind, a Calmer You	艾利克斯·贝林格
意识的宇宙	The Consciousness of the Universe: Part One: On the Identity of the Cosmos and the Enlightenment of the Physical Universe	李怀德
学会安全的希望	Learned Optimism: How to Change Your Mind and Your Life	马丁·塞利格曼
社会学概论	Sociology 101	琳恩·埃利森
世界是平的	The World Is Flat: A Brief History of the Twenty-first Century	托马斯·弗里德曼
让人惊叹的事	The Things They Carried	提摩西·欧布莱恩
关于爱情和孤独的批判	The Love Story: An Examination of Love and Isolation	欧文·鲍厄斯
故事：想象、行动和意向的故事心理学	Story: Substance, Structure, Style, and the Principles of Screenwriting	罗伯特·麦基
愉快的哀悼	The Art of Mourning	亨利·索恩威克
自控力工具箱	The Marshmallow Test: Mastering Self-Control	沃尔特·米舍尔
乖乖女	Good Girl Bad Girl: An Insider's Look at Women's Rights in a World of Population Control	林崇德
箱庭效应	The Tipping Point: How Little Things Can Make a Big Difference	马尔科姆·格拉德威尔
管窥真相：揭示社会中的不声不响的规则	Seeing Through the Veil: Revealing the Silent Rules of Social Life	梅尔文·瓦特斯
为什么我们要工作	Why We Work	巴里·施瓦茨
误解人性	Mistakes Were Made (But Not by Me): Why We Justify Foolish Beliefs, Bad Decisions, and Hurtful Acts	卡罗尔·特维斯和艾略特·阿隆森
思考，快与慢	Thinking, Fast and Slow	丹尼尔·卡尼曼
社会性动物	Behave: The Biology of Humans at Our Best and Worst	罗伯特·莫斯
人类简史	Sapiens: A Brief History of Humankind	尤瓦尔·赫拉利
枪炮、病菌与钢铁	Guns, Germs, and Steel: The Fates of Human Societies	贾雷德·戴蒙德
异类：不一样的成功启示录	Outliers: The Story of Success	马尔科姆·格拉德威尔
展示力	The Presentation of Self in Everyday Life	厄文·戈夫曼
可复制的成功	Good to Great: Why Some Companies Make the Leap and Others Don't	吉姆·柯林斯
深度清洁思维	Deep Work: Rules for Focused Success in a Distracted World	卡尔·纽波特
精益创业	The Lean Startup: How Today’s Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses	埃里克·莱斯
团队生产力	The Five Dysfunctions of a Team: A Leadership Fable	派翠克·莱西奇
果壳中的宇宙	The Universe in a Nutshell	斯蒂芬·霍金
自私的基因	The Selfish Gene	理查德·道金斯
刻意练习	Peak: Secrets from the New Science of Expertise	安德斯·艾里克松
思考的艺术	The Art of Thinking Clearly	罗尔夫·道贝利
人性的弱点	How to Win Friends and Influence People	戴尔·卡耐基
学会提问	A More Beautiful Question: The Power of Inquiry to Spark Breakthrough Ideas	沃伦·伯格曼
思考的进化	The Evolution of Thought: Classic Reprint	赫伯特·斯宾塞
衡量奇迹	Quantum Enigma: Physics Encounters Consciousness	布鲁斯·罗森布拉姆
红书：心灵的路程	The Red Book: A Reader’s Edition	卡尔·古斯塔夫·荣格
智慧与偏见	Thinking in Systems: A Primer	唐纳德·梅德斯
人类灵魂简史	A Brief History of the Soul	查理·扬
量子物理的微笑	The Tao of Physics: An Exploration of the Parallels between Modern Physics and Eastern Mysticism	法里申·卡帕拉
乌合之众	The Crowd: A Study of the Popular Mind	古斯塔夫·勒庞
设计思维	Design Thinking: Integrating Innovation, Customer Experience, and Brand Value	托马斯·洛克伍德、托马斯·马丁诺
想象的力量	The Power of Imagination: Unlocking Your Ability to Receive from God	安德鲁·沃默克
情绪洗牌	Emotional Agility: Get Unstuck, Embrace Change, and Thrive in Work and Life	苏珊·大卫
赤裸裸的统计	Naked Statistics: Stripping the Dread from the Data	查尔斯·韦尔曼
乱世枭雄	Mistakes Were Made (But Not by Me): Why We Justify Foolish Beliefs, Bad Decisions, and Hurtful Acts	卡罗尔·特维斯、艾略特·阿隆森
堆积如山的证据	The Evidence Against Her	罗比·巴赫曼
解构工作：员工如何感知自己以及它们之间的关系	The Coming Jobs War	吉姆·克林顿
社交心理学	Social Psychology	大卫·迈尔斯
无声告白	Quiet: The Power of Introverts in a World That Can't Stop Talking	苏珊·凯恩
人性的缺点	The Psychology of Human Misjudgment	查理·芒格
程序员修炼之道	The Pragmatic Programmer: From Journeyman to Master	安德鲁·亨特、戴维·托马斯
管理现代组织	Modern Organizations: Organizations, Innovation and Strategy	朱利安·伯吉斯
是什么让这个世界转动	What Makes the World Move?: The Question of Date, Soul, and Materiality	理查德·德森
非暴力沟通	Nonviolent Communication: A Language of Life	马绍尔·卢森伯格
反脆弱	Antifragile: Things That Gain from Disorder	纳西姆·尼古拉斯·塔勒布
假如的历程	The Alchemy of Air: A Jewish Genius, a Doomed Tycoon, and the Scientific Discovery That Fed the World but Fueled the Rise of Hitler	托马斯·赫格萨德
行动科学	Actionable Neuroscience for Leadership	杰弗里·富莫斯
回忆录	Memoirs	安东尼·米德尔顿
血、汗与泪	Blood, Sweat, and Tears: Or How I Learned to Stop Worrying and Love the Grind	露西·贝利
人是如何记忆的	How We Remember: Brain Mechanisms of Episodic Memory	亚伦·R·塔爵
生看不见的东西	The Invisible Life of Addie LaRue	维·E·施瓦布
万物简史	Brief Answers to the Big Questions	斯蒂芬·霍金
上访	Petitioning for Change: A Handbook for Activists	克里斯蒂·埃文斯
更好的明天	Better Learning Through Structured Teaching: A Framework for the Gradual Release of Responsibility	道格·菲舍尔、南希·弗瑞曼
马上改善你的写作	On Writing Well: The Classic Guide to Writing Nonfiction	威廉·Z·伯格
思考和快乐	The Art of Thinking Clearly	Rolf Dobelli
良心之善	The Better Angels of Our Nature: Why Violence Has Declined	史蒂文·平克
乌合之众	The Crowd: A Study of the Popular Mind	古斯塔夫·勒庞
认知改变的艺术	Mindset: The New Psychology of Success	卡罗尔·S·德韦克
影响力	Influence: The Psychology of Persuasion	罗伯特·西奥迪尼
思考，快与慢	Thinking, Fast and Slow	丹尼尔·卡尼曼
人性的弱点	How to Win Friends and Influence People	戴尔·卡内基
心理学与生活	Psychology and Life	理查德·格里格
科技奇点	The Singularity is Near	雷·库兹韦尔
伪装与识破	Spy the Lie: Former CIA Officers Teach You How to Detect Deception	菲利普·休斯等
时间的秩序	The Order of Time	卡洛·罗韦利
思考的乐趣	A Guide to the Good Life: The Ancient Art of Stoic Joy	威廉·欧文
通往奴役之路	The Road to Serfdom	弗里德里希·哈耶克
追寻生命的意义	Man's Search for Meaning	维克多·弗兰克尔
可复制的人	The Replicators: How Entrepreneurs Reinvent Themselves and Their Businesses	玛里·阿尔莫达瓦
连锁反应	The Tipping Point: How Little Things Can Make a Big Difference	马尔科姆·格拉德威尔
沉默的大多数	The Silent Majority: Suburban Politics in the Sunbelt South	雷·布克海特
非暴力沟通	Nonviolent Communication: A Language of Life	马歇尔·卢森伯格
富爸爸，穷爸爸	Rich Dad Poor Dad	罗伯特·清崎
财富自由之路	The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime	马斯特·MJ·德马尔科
股票大作手回忆录	Reminiscences of a Stock Operator	埃德温·莱费伊
畅销之道	Made to Stick: Why Some Ideas Survive and Others Die	基思·蒙恩等
布莱克天鹅	The Black Swan: The Impact of the Highly Improbable	纳西姆·尼古拉斯·塔勒布
超预示：为什么我们总能预知事情的发生	Superforecasting: The Art and Science of Prediction	菲利普·泰特洛克等
有为青年必读	The 7 Habits of Highly Effective People	史蒂芬·柯维
把时间当做朋友	Make Time: How to Focus on What Matters Every Day	杰克·齐默尔曼
失控	Out of Control: The New Biology of Machines, Social Systems, and the Economic World	凯文·凯利
反脆弱	Antifragile: Things That Gain from Disorder	纳西姆·尼古拉斯·塔勒布
重构：改善既有代码的设计	Refactoring: Improving the Design of Existing Code	马丁·福勒
启示录：机器学习时代对商业、自由、社会的影响	Prediction Machines: The Simple Economics of Artificial Intelligence	铃木达郎等
增长黑客	Growth Hacker Marketing: A Primer on the Future of PR, Marketing, and Advertising	瑞恩·霍利迪
激荡三十年	The China Boom: Why China Will Not Rule the World	霍维斯·W·佩尔逊
优秀到不能被忽视	So Good They Can't Ignore You: Why Skills Trump Passion in the Quest for Work You Love	卡尔·纽波特
最后的书商	The Last Bookshop in London: A Tale of Obsession and Perseverance in the Most Challenging of Times	玛丽·安·李漫福德
人类简史：从动物到上帝	Sapiens: A Brief History of Humankind	尤瓦尔·赫拉利
卡夫卡岛	The Castle	弗兰茨·卡夫卡
世界上最简单的经济学课	The Armchair Economist: Economics and Everyday Life	斯蒂文·E·兰兰
操作系统概念	Operating System Concepts	亚伯拉罕·西尔伯斯查茨等
追求卓越	Good to Great: Why Some Companies Make the Leap and Others Don't	吉姆·柯林斯
精益创业	The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses	艾里克·莱斯
码农疯言疯语	Coders at Work: Reflections on the Craft of Programming	彼得·西格尔
黑客与画家	Hackers & Painters: Big Ideas from the Computer Age	保罗·格雷厄姆
人工智能的未来	AI Superpowers: China, Silicon Valley, and the New World Order	周源等
计数器文化	The Hacker Ethic	皮埃尔·莱维
侃爷传	The Story of Kanye West	亚历克斯·吉尔斯
芝加哥经济学派	The Chicago School of Economics: Friedrich Hayek	乔治·H·史密斯
自私的基因	The Selfish Gene	理查德·道金斯
文化心理学	Cultural Psychology	丹尼尔·菲斯克塔（Daniel Fessler）、艾丽森·加扎里安（Alison Gopnik）、乔恩·海德尔（John Haidt）
月光男孩	Moonlight	比利·琼斯
贝多芬传	Beethoven: The Relentless Revolutionary	纳杰尔·克拉夫特
资本主义的灵魂	The Protestant Ethic and the Spirit of Capitalism	马克斯·韦伯
解忧杂货店	The Convenience Store	东野圭吾
瞬间的力量	The Power of Moments: Why Certain Experiences Have Extraordinary Impact	丹·希思
解忧杂货店	The Miracles of the Namiya General Store	东野圭吾
如何阅读一本书	How to Read a Book	艾德勒、范多伦
原则	Principles	瑞·达利欧
千面英雄	The Hero with a Thousand Faces	约瑟夫·坎贝尔
精益创业	The Lean Startup: How Today’s Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses	埃里克·里斯
沉默的大多数	The Silent Majority	王小波
极简主义	Goodbye, Things: The New Japanese Minimalism	佐野洋子
心理学与生活	Psychology and Life	理查德·格里格
超预测	Superforecasting: The Art and Science of Prediction	菲利普·E.泰特洛克，丹妮尔·卡恩曼
解忧杂货店	The Miracles of the Namiya General Store	东野圭吾
极简人生	Essentialism: The Disciplined Pursuit of Less	格雷格·麦基恩
沙丘	Dune	弗兰克·赫伯特
贫穷的本质	The Nature of Poverty	本杰明·弗根高默
时间简史	A Brief History of Time	史蒂芬·霍金
高效能人士的七个习惯	The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change	史蒂芬·柯维
黑客与画家	Hackers and Painters：Big Ideas from the Computer Age	保罗·格雷厄姆
创意之树	The Creative Tree: Innovation in Education	约翰·霍华德
复杂	Complexity: A Guided Tour	米切尔·沃尔德罗普
致命习惯	The Power of Habit: Why We Do What We Do in Life and Business	查尔斯·杜希格
奇特的一生	The Hiding Place	柏林·张伯伦
三体	The Three-Body Problem	刘慈欣
引爆点	The Tipping Point: How Little Things Can Make a Big Difference	马尔科姆·格拉德威尔
游戏化思维	The Gamification of Learning and Instruction: Game-Based Methods and Strategies for Training and Education	卡尔·科克斯
思考，快与慢	Thinking, Fast and Slow	丹尼尔·卡尼曼
夜行动物园	Night Zookeeper: The Write to Draw Project	维克托·华尔什
边缘人	Outliers: The Story of Success	马尔科姆·格拉德威尔
乌合之众	The Crowd: A Study of the Popular Mind	古斯塔夫·勒庞
断舍离	The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing	近藤麻理惠
拖延心理学	The Art of Procrastination: A Guide to Effective Dawdling, Lollygagging and Postponing	约翰·佛瑞德
复盘人生	Principles of Life Management	杨波
